brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
iKall,4.1,3489,Quad,4.0,1.3,2.0,16.0,3000.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,0.3,0.0,2.0,0.0,Android,6.0,32GB,Unknown,Unknown,Wi-Fi
iKall,4.55,3950,Dual,2.0,1.3,2.0,16.0,3000.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,32GB,Dual Sim,not_available,Wi-Fi
Apple,4.05,38643,Fusion,4.0,2.34,3.0,32.0,8827.0,0.0,Unknown,10.2,1620x2160,1620.0,2160.0,264.7058823529412,0.0,1.2,0.0,8.0,0.0,iOS,13.1,Unknown,Single Sim,not_available,Wi-Fi
Lenovo,4.45,6999,Helio,4.0,2.0,2.0,32.0,5000.0,0.0,Unknown,8.0,800x1280,800.0,1280.0,188.67962264113208,0.0,2.0,0.0,8.0,0.0,Unknown,0.0,128GB,Unknown,not_available,Wi-Fi
Apple,4.05,45248,Apple,6.0,2.5,0.0,64.0,5124.0,0.0,Unknown,7.9,1536x2048,1536.0,2048.0,324.05063291139237,0.0,7.0,0.0,8.0,0.0,iOS,12.1,Unknown,Single Sim,not_available,Wi-Fi
Samsung,4.7,12999,Exynos,8.0,1.8,2.0,32.0,6150.0,45.0,Fast,10.1,1200x1920,1200.0,1920.0,224.17380907857276,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,32GB,Unknown,not_available,Wi-Fi
Samsung,4.05,9999,Exynos,8.0,1.8,2.0,32.0,5100.0,0.0,Unknown,8.0,1280x800,1280.0,800.0,188.67962264113208,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,512GB,Single Sim,not_available,Wi-Fi
iKall,4.55,7999,SC9832,4.0,1.2,2.0,16.0,6000.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,32GB,Dual Sim,not_available,Wi-Fi
Lenovo,4.25,23999,Snapdragon,8.0,2.0,3.0,16.0,7000.0,0.0,Unknown,10.1,1200x1920,1200.0,1920.0,224.17380907857276,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,Supported,Single Sim,not_available,Wi-Fi
iKall,4.0,4999,Quad,4.0,1.1,1.0,8.0,4000.0,0.0,Unknown,8.0,1280x800,1280.0,800.0,188.67962264113208,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,32GB,Dual Sim,not_available,Wi-Fi
iKall,4.1,4094,MTK8735,4.0,1.0,2.0,16.0,3000.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,32GB,Dual Sim,not_available,Wi-Fi
