Actual_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type,Product_Type,Technology,noise cancellation,anc,waterproof,fast charging,bass,enc,playtime,gaming
3490.0,boAt,Rockerz 510 / Rockerz 518,Viper Green,On Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
2490.0,boAt,Rockerz 235 Pro,Ash Grey,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2999.0,Noise,Air Buds Mini Truly Wireless,Jet Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
3999.0,PTron,Basspods P251+,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,No,No
2999.0,Wings,Phantom 850,Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,Yes,Yes,Yes
5499.0,Boult,airbass y1 wireless earphones,Black,In Ear,Bluetooth,earbuds,bluetooth v5.1,No,No,No,Yes,Yes,No,Yes,No
3999.0,Noise,Buds�VS204,Snow White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
4999.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,Yes
2999.0,ZEBRONICS,"ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback.",Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,No,Yes
4990.0,boAt,Rockerz 333ANC,Stellar Black,In Ear,Bluetooth,headset,Unknown,Yes,Yes,No,No,No,No,No,No
